64 36 40
../_Textures/Map/TilesetNatureDown.png 24 21
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.916667 0.952381 0.958333 1.000000
0.958333 0.952381 1.000000 1.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
0.958333 0.904762 1.000000 0.952381
0.916667 0.904762 0.958333 0.952381
