64 36 40
../_Textures/Map/TilesetField.png 5 15
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.000000 0.000000 0.200000 0.066667
0.200000 0.266667 0.400000 0.333333
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
