64 36 40
../_Textures/Map/TilesetField.png 5 15
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.466667 0.400000 0.533333
0.200000 0.666667 0.400000 0.733333
0.200000 0.666667 0.400000 0.733333
0.200000 0.666667 0.400000 0.733333
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
